Processor Number,Intel® Core™ Generation,Brand Identifier ,Year Launched,Lithography,# cores ,# of Performance-cores,# of Efficient-cores,# Threads,Max Turbo Frequency,Cache,Processor Base Power (previously known as TDP),Minimum Assured Power (previously known as Configurable TDP-down),Max Memory Size (dependent on memory type),Memory Types5,Processor Graphics,Graphics Max Dynamic Frequency,"Max Resolution for HDMI,
i3-6167U,6th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB ,28 W,23 W,32 GB,"Up to [DDR4-2133, LPDDR3-1866, DDR3L-1600]",Intel® Iris® Graphics 550,1.00 GHz,"HDMI: 4096 x 2304@24Hz
DP: 4096 x 2304@60Hz
eDP: 4096 x 2304@60Hz",12,4.5,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-6100U,6th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB ,15 W,7.5 W,32 GB,"Up to [DDR4-2133, LPDDR3-1866, DDR3L-1600]",Intel® HD Graphics 520,1.00 GHz,"HDMI: 4096 x 2304@24Hz
DP: 4096 x 2304@60Hz
eDP: 4096 x 2304@60Hz",12,4.5,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-6100H,6th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB ,35 W,N/A,64 GB,"Up to [DDR4-2133, LPDDR3-1866, DDR3L-1600]",Intel® HD Graphics 530,900 MHz,"HDMI: 4096 x 2304@24Hz
DP: 4096 x 2304@60Hz
eDP: 4096 x 2304@60Hz",12,4.5,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5950HQ,5th,i7,2015,14 nm,4,N/A,N/A,8,3.80 GHz1,6 MB,47 W,N/A,32 GB,Up to [DDR3L 1600/1866 LPDDR3 1600/1866],Intel® Iris® Pro Graphics 6200,1.15 GHz,"HDMI: 2560x1600@ 60Hz
DP: 4096x2304@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5850HQ,5th,i7,2015,14 nm,4,N/A,N/A,8,3.60 GHz1,6 MB,47 W,N/A,32 GB,Up to [DDR3L 1600/1866 LPDDR3 1600/1866],Intel® Iris® Pro Graphics 6200,1.10 GHz,"HDMI: 2560x1600@ 60Hz
DP: 4096x2304@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5750HQ,5th,i7,2015,14 nm,4,N/A,N/A,8,3.40 GHz1,6 MB,47 W,37 W,32 GB,Up to [DDR3L 1600/1866 LPDDR3 1600/1866],Intel® Iris® Pro Graphics 6200,1.05 GHz,"HDMI: 2560x1600@ 60Hz
DP: 4096x2304@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5700HQ,5th,i7,2015,14 nm,4,N/A,N/A,8,3.50 GHz1,6 MB,47 W,37 W,32 GB,Up to [DDR3L 1600/1866 LPDDR3 1600/1866],Intel® Iris® Pro Graphics 6200,1.05 GHz,"HDMI: 2560x1600@ 60Hz
DP: 4096x2304@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5650U,5th,i7,2015,14 nm,2,N/A,N/A,4,3.10 GHz1,4 MB,15 W,9.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® HD Graphics 6000,1.00 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5600U,5th,i7,2015,14 nm,2,N/A,N/A,4,3.20 GHz1,4 MB,15 W,7.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 5500,950 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5557U,5th,i7,2015,14 nm,2,N/A,N/A,4,3.40 GHz1,4 MB,28 W,23 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® Iris® Graphics 6100,1.10 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5550U,5th,i7,2015,14 nm,2,N/A,N/A,4,3.00 GHz1,4 MB ,15 W,9.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® HD Graphics 6000,1.00 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-5500U,5th,i7,2015,14 nm,2,N/A,N/A,4,3.00 GHz1,4 MB,15 W,7.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 5500,950 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-5350U,5th,i5,2015,14 nm,2,N/A,N/A,4,2.90 GHz1,3 MB,15 W,9.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® HD Graphics 6000,1.00 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-5350H,5th,i5,2015,14 nm,2,N/A,N/A,4,3.50 GHz1,4 MB,47 W,N/A,32 GB,Up to [DDR3L 1600/1866 LPDDR3 1600/1866],Intel® Iris® Pro Graphics 6200,1.05 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-5300U,5th,i5,2015,14 nm,2,N/A,N/A,4,2.90 GHz1,3 MB,15 W,7.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 5500,900 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-5287U,5th,i5,2015,14 nm,2,N/A,N/A,4,3.30 GHz1,3 MB,28 W,23 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® Iris® Graphics 6100,1.10 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-5257U,5th,i5,2015,14 nm,2,N/A,N/A,4,3.10 GHz1,3 MB,28 W,23 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® Iris® Graphics 6100,1.05 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-5250U,5th,i5,2015,14 nm,2,N/A,N/A,4,2.70 GHz1,3 MB,15 W,9.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® HD Graphics 6000,950 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-5200U,5th,i5,2015,14 nm,2,N/A,N/A,4,2.70 GHz1,3 MB,15 W,7.5 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 5500,900 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-5157U,5th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB,28 W,23 W,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1600/1866]",Intel® Iris® Graphics 6100,1.00 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-5020U,5th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB,15 W,10 W,16 GB,Up to [DDR3L 1333/1600 LPDDR 1333 /1600],Intel® HD Graphics 5500,900 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-5015U,5th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB,15 W,10 W,16 GB,Up to [DDR3L 1333/1600 LPDDR 1333 /1600],Intel® HD Graphics 5500,850 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-5010U,5th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB,15 W,10 W,16 GB,Up to [DDR3L 1333/1600 LPDDR 1333 /1600],Intel® HD Graphics 5500,900 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-5005U,5th,i3,2015,14 nm,2,N/A,N/A,4,N/A,3 MB,15 W,10 W,16 GB,Up to [DDR3L 1333/1600 LPDDR 1333 /1600],Intel® HD Graphics 5500,850 MHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4722HQ,4th,i7,2015,22 nm,4,N/A,N/A,8,3.40 GHz1,6 MB,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.15 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4720HQ,4th,i7,2015,22 nm,4,N/A,N/A,8,3.60 GHz1,6 MB,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.20 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
M-5Y71 ,5th ,M,2014,14 nm,2,N/A,N/A,4,2.90 GHz1,4 MB,4.5 W,3.5 W,16 GB,Up to [LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600],Intel® HD Graphics 5300,900 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
M-5Y70,5th ,M,2014,14 nm,2,N/A,N/A,4,2.60 GHz1,4 MB,4.5 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 5300,850 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
M-5Y51,5th ,M,2014,14 nm,2,N/A,N/A,4,2.60 GHz1,4 MB,4.5 W,3.5 W,16 GB,Up to [LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600],Intel® HD Graphics 5300,900 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
M-5Y31,5th ,M,2014,14 nm,2,N/A,N/A,4,2.40 GHz1,4 MB,4.5 W,3.5 W,16 GB,Up to [LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600],Intel® HD Graphics 5300,850 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
M-5Y10c,5th ,M,2014,14 nm,2,N/A,N/A,4,2.00 GHz1,4 MB,4.5 W,3.5 W,16 GB,Up to [LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600],Intel® HD Graphics 5300,800 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
M-5Y10a,5th ,M,2014,14 nm,2,N/A,N/A,4,2.00 GHz1,4 MB,4.5 W,N/A,16 GB,Up to [LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600],Intel® HD Graphics 5300,800 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
M-5Y10,5th ,M,2014,14 nm,2,N/A,N/A,4,2.00 GHz1,4 MB,4.5 W,N/A,16 GB,Up to [LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600],Intel® HD Graphics 5300,800 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4980HQ,4th,i7,2014,22 nm,4,N/A,N/A,8,4.00 GHz1,6 MB,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® Iris® Pro Graphics 5200,1.30 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4940MX,4th,i7,2014,22 nm,4,N/A,N/A,8,4.00 GHz1,8 MB ,57 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.35 GHz,N/A,N/A,N/A,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4910MQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.90 GHz1,8 MB ,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.30 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4870HQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.70 GHz1,6 MB,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® Iris® Pro Graphics 5200,1.20 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4860HQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.60 GHz1,6 MB ,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® Iris® Pro Graphics 5200,1.20 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4810MQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.80 GHz1,6 MB ,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.30 GHz,"HDMI: 2560x1600@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4770HQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.40 GHz1,6 MB,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® Iris® Pro Graphics 5200,1.20 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4760HQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.30 GHz1,6 MB ,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® Iris® Pro Graphics 5200,1.20 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4712MQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.30 GHz1,6 MB ,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.15 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4712HQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.30 GHz1,6 MB ,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.15 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4710MQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.50 GHz1,6 MB ,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.15 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4710HQ,4th,i7,2014,22 nm,4,N/A,N/A,8,3.50 GHz1,6 MB ,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.20 GHz,"HDMI: 3840x2160@30Hz
DP: 3840x2160@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4610M,4th,i7,2014,22 nm,2,N/A,N/A,4,3.70 GHz1,4 MB ,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.30 GHz,DP: 4096 x 2160@30Hz,11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4578U,4th,i7,2014,22 nm,2,N/A,N/A,4,3.50 GHz1,4 MB,28 W,N/A,16 GB,"Up to [DDR3L-1333, 1600; LPDDR3-1333, 1600]",Intel® Iris® Graphics 5100,1.20 GHz,"HDMI: 3200x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-4510U,4th,i7,2014,22 nm,2,N/A,N/A,4,3.10 GHz1,4 MB ,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4400,1.10 GHz,"HDMI: 3200x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4360U,4th,i5,2014,22 nm,2,N/A,N/A,4,3.00 GHz1,3 MB ,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 5000,1.10 GHz,"HDMI: 3280x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4340M,4th,i5,2014,22 nm,2,N/A,N/A,4,3.60 GHz1,3 MB ,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.25 GHz,"HDMI: 3840x2160@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4310U,4th,i5,2014,22 nm,2,N/A,N/A,4,3.00 GHz1,3 MB ,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4400,1.10 GHz,"HDMI: 3280x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4310M,4th,i5,2014,22 nm,2,N/A,N/A,4,3.40 GHz1,3 MB ,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.25 GHz,"HDMI: 3840x2160@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4308U,4th,i5,2014,22 nm,2,N/A,N/A,4,3.30 GHz1,3 MB,28 W,N/A,16 GB,"Up to [DDR3L-1333, 1600; LPDDR3-1333, 1600]",Intel® Iris® Graphics 5100,1.20 GHz,"HDMI: 3280x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4278U,4th,i5,2014,22 nm,2,N/A,N/A,4,3.10 GHz1,3 MB,28 W,N/A,16 GB,"Up to [DDR3L-1333, 1600; LPDDR3-1333, 1600]",Intel® Iris® Graphics 5100,1.10 GHz,"HDMI: 3280x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4260U,4th,i5,2014,22 nm,2,N/A,N/A,4,2.70 GHz1,3 MB ,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 5000,1.00 GHz,"HDMI: 3280x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4220Y,4th,i5,2014,22 nm,2,N/A,N/A,4,2.00 GHz1,3 MB,11.5 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4200,850 MHz,"HDMI: 2560x1600@60Hz
DP: 2560x1600@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4210U,4th,i5,2014,22 nm,2,N/A,N/A,4,2.70 GHz1,3 MB ,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4400,1.00 GHz,"HDMI: 3280x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4210M,4th,i5,2014,22 nm,2,N/A,N/A,4,3.20 GHz1,3 MB ,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.15 GHz,"HDMI: 3840x2160@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-4210H,4th,i5,2014,22 nm,2,N/A,N/A,4,3.50 GHz1,3 MB ,47 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.15 GHz,"HDMI: 3840x2160@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-4120U,4th,i3,2014,22 nm,2,N/A,N/A,4,N/A,3 MB,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4400,1.00 GHz,"HDMI: 3200x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-4110M,4th,i3,2014,22 nm,2,N/A,N/A,4,N/A,3 MB ,37 W,N/A,32 GB,Up to [DDR3L 1333/1600],Intel® HD Graphics 4600,1.10 GHz,"HDMI: 3840x2160@ 60Hz
DP: 3840x2160@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-4030Y,4th,i3,2014,22 nm,2,N/A,N/A,4,N/A,3 MB ,11.5 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4200,850 MHz,"HDMI: 2560x1600@60Hz
DP: 2561x1600@60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-4030U,4th,i3,2014,22 nm,2,N/A,N/A,4,N/A,3 MB ,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4400,1.00 GHz,"HDMI: 3200x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-4025U,4th,i3,2014,22 nm,2,N/A,N/A,4,N/A,3 MB ,15 W,N/A,16 GB,"Up to [DDR3L 1333/1600, LPDDR3 1333/1600]",Intel® HD Graphics 4400,950 MHz,"HDMI: 3200x2000@ 60Hz
DP: 3200x2000@ 60Hz",11.2/12,4.3,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
,,,,,,,,,,,,,,,,,,,,,
1Intel® Turbo Boost Technology 2.0 Frequency,,,,,,,,,,,,,,,,,,,,,
2Intel® Turbo Boost Max Technology 3.0 Frequency,,,,,,,,,,,,,,,,,,,,,
3Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,,,
4Max Turbo Frequency only applies on performance-cores for 12th & 13th Gen Intel® Core™ Processors,,,,,,,,,,,,,,,,,,,,,
5Type and speed of memory can vary between laptops,,,,,,,,,,,,,,,,,,,,,
6 This Processor is available also without IPU (Intel® Image Processing Unit) and no LPDDR5,,,,,,,,,,,,,,,,,,,,,
7 This Processor is available also without IPU (Intel® Image Processing Unit) and no minimum assured power set,,,,,,,,,,,,,,,,,,,,,
